SB-160-7000;63;125;250;500;1000;2000;4000;8000;LatDW;deltaL;kW
PM;87,1;93,6;97,1;99,6;100,2;98,3;94,3;83,6;105,7;2,1;7200
NM1;86,2;94,4;97,1;97,4;99,5;97,7;94,1;84,4;105;2,1;6984
NM2;85,3;94,2;96,3;98,6;97,5;97,7;92,6;84,3;104,5;2,1;6705
NM3;84,8;92;96,6;98;97,2;96,7;91,4;82,2;103,9;2,1;6436
NM4;85,2;92;96,5;96,8;96,8;95,2;91;82,8;103,2;2,1;6308
NM5;83,9;91,3;94,5;95,9;96;94,8;90,6;81,8;102,2;2,1;5992
NM6;83,2;90,3;95,7;95,9;96,6;94,9;90,7;81;102,5;2,1;5753
NM7;83,3;90,4;94,1;96,1;95,7;95;90,8;80,9;102,1;2,1;5638
NM8;81,5;88,2;92,1;94,1;93,3;92,1;88;78,8;99,8;2,1;5525
NM9;81,5;88,7;92,4;93,8;93,4;93;88,7;78;100;2,1;5304
NM10;81,2;88,6;91,3;91,7;92,3;92,5;88;77,7;99;2,1;5039
NM11;80,8;86,9;90,1;92,2;93,4;90,9;87,1;77,7;98,6;2,1;4938
NM12;80,6;87,6;90,6;92,4;92,1;91,4;86,6;77,9;98,5;2,1;4691
aus;1;1;1;1;1;1;1;1;10;2,1;1
;;;;;;;;;;;
endoffile;;;;;;;;;;;
